numInputLinks,numStages,talkerSize,prioCTSize,stageIdleSlope,aggregateIdleSlope,maxDelay
2,1,585.0,586.0,75008000.0,75008000.0,0.0004323032764505119
2,2,585.0,586.0,75008000.0,75008000.0,0.0005673932764505119
2,3,585.0,586.0,75008000.0,75008000.0,0.000702483276450512
2,4,585.0,586.0,75008000.0,75008000.0,0.0008375732764505119
2,5,585.0,586.0,75008000.0,75008000.0,0.0009726632764505118
2,6,585.0,586.0,75008000.0,75008000.0,0.0011077532764505
2,7,585.0,586.0,75008000.0,75008000.0,0.0012428432764505
2,8,585.0,586.0,75008000.0,75008000.0,0.0013779332764505
2,9,585.0,586.0,75008000.0,75008000.0,0.0015130232764505
2,10,585.0,586.0,75008000.0,75008000.0,0.0016481132764505
3,1,390.0,781.0,75072000.0,75072000.0,0.00042445670076726337
3,2,390.0,781.0,75072000.0,75072000.0,0.0005595467007672634
3,3,390.0,781.0,75072000.0,75072000.0,0.0006946367007672634
3,4,390.0,781.0,75072000.0,75072000.0,0.0008297267007672634
3,5,390.0,781.0,75072000.0,75072000.0,0.0009648167007672632
3,6,390.0,781.0,75072000.0,75072000.0,0.0010999067007672
3,7,390.0,781.0,75072000.0,75072000.0,0.0012349967007672
3,8,390.0,781.0,75072000.0,75072000.0,0.0013700867007672
3,9,390.0,781.0,75072000.0,75072000.0,0.0015051767007672
3,10,390.0,781.0,75072000.0,75072000.0,0.0016402667007672
4,1,292.0,879.0,75008000.0,75008000.0,0.0004185932764505119
4,2,292.0,879.0,75008000.0,75008000.0,0.0005536832764505119
4,3,292.0,879.0,75008000.0,75008000.0,0.000688773276450512
4,4,292.0,879.0,75008000.0,75008000.0,0.0008238632764505119
4,5,292.0,879.0,75008000.0,75008000.0,0.0009589532764505118
4,6,292.0,879.0,75008000.0,75008000.0,0.0010940432764505
4,7,292.0,879.0,75008000.0,75008000.0,0.0012291332764505
4,8,292.0,879.0,75008000.0,75008000.0,0.0013642232764505
4,9,292.0,879.0,75008000.0,75008000.0,0.0014993132764505
4,10,292.0,879.0,75008000.0,75008000.0,0.0016344032764505
