Switches; Producers; Consumers; Time
1;1;1;6.721000000000006e-05
1;1;2;8.63019999999999e-05
1;1;5;9.816600000000001e-05
1;1;10;0.00012730199999999993
1;1;20;0.00016975600000000007
1;1;30;0.00021938399999999999
1;1;40;0.000276552
1;1;50;0.000337176
1;2;1;9.051000000000003e-05
1;2;2;9.335000000000007e-05
1;2;5;0.00012189800000000006
1;2;10;0.00017982000000000002
1;2;20;0.0003081099999999999
1;2;30;0.00043817399999999994
1;2;40;0.0005549419999999999
1;2;50;0.00069067
1;5;1;0.00010609599999999997
1;5;2;0.00013374399999999988
1;5;5;0.000232702
1;5;10;0.00040510200000000007
1;5;20;0.000751886
1;5;30;0.001107262
1;5;40;0.001463214
1;5;50;0.0018068300000000002
1;10;1;0.00013694599999999999
1;10;2;0.00020351799999999997
1;10;5;0.00041270200000000003
1;10;10;0.0007850699999999999
1;10;20;0.0015111019999999998
1;10;30;0.002242126
1;10;40;0.0029743499999999997
1;10;50;0.0037082219999999997
1;20;1;0.000223214
1;20;2;0.00036711800000000004
1;20;5;0.000812302
1;20;10;0.001559118
1;20;20;0.0030100500000000002
1;20;30;0.004485698
1;20;40;0.006008606
1;20;50;0.007438734
1;30;1;0.00032083000000000003
1;30;2;0.000528686
1;30;5;0.0012082059999999999
1;30;10;0.0023156459999999998
1;30;20;0.004523874
1;30;30;0.006748174
1;30;40;0.009044606
1;30;50;0.011198814000000001
1;40;1;0.0003983820000000001
1;40;2;0.000696414
1;40;5;0.001579726
1;40;10;0.0030609900000000004
1;40;20;0.0060835179999999996
1;40;30;0.008939566
1;40;40;0.011984462000000001
1;40;50;0.014958894
1;50;1;0.000487246
1;50;2;0.000858494
1;50;5;0.001970062
1;50;10;0.00382635
1;50;20;0.0074897259999999995
1;50;30;0.011184862
1;50;40;0.014996125999999999
1;50;50;0.018717677999999998
2;1;1;0.0001286289999999999
2;1;2;0.00013786099999999997
2;1;5;0.00019776499999999992
2;1;10;0.00020848299999999998
2;1;20;0.0003155109999999999
2;1;30;0.000432174
2;1;40;0.0005453739999999999
2;1;50;0.0006399649999999999
2;2;1;0.000130881
2;2;2;0.000160131
