Switches; Producers; Consumers; Time
1;1;1;8.9682e-05
1;1;2;0.00011045400000000006
1;1;5;0.00012905800000000004
1;1;10;0.0001534399999999999
1;1;20;0.00018546199999999995
1;1;30;0.0002340459999999999
1;1;40;0.00030078199999999987
1;1;50;0.00036895799999999996
1;2;1;0.00010040200000000009
1;2;2;0.00012023599999999991
1;2;5;0.0001382759999999999
1;2;10;0.00017318999999999993
1;2;20;0.00026866999999999993
1;2;30;0.00038585399999999993
1;2;40;0.000481998
1;2;50;0.000592862
1;5;1;0.00012927199999999994
1;5;2;0.00014134200000000003
1;5;5;0.000182146
1;5;10;0.00030703799999999993
1;5;20;0.000551246
1;5;30;0.000820318
1;5;40;0.0010794059999999998
1;5;50;0.001341086
1;10;1;0.00013694800000000002
1;10;2;0.000165826
1;10;5;0.0003067339999999999
1;10;10;0.0005568139999999999
1;10;20;0.001061982
1;10;30;0.0015684459999999998
1;10;40;0.002074238
1;10;50;0.002581374
1;20;1;0.00017473800000000002
1;20;2;0.00027134199999999994
1;20;5;0.000566446
1;20;10;0.001058622
1;20;20;0.002036078
1;20;30;0.0030640299999999997
1;20;40;0.004068398
1;20;50;0.005072302
1;30;1;0.00023383799999999988
1;30;2;0.0003843499999999999
1;30;5;0.0008178059999999999
1;30;10;0.0015654699999999998
1;30;20;0.0030013899999999996
1;30;30;0.004567998
1;30;40;0.00606747
1;30;50;0.007567613999999999
1;40;1;0.0003047340000000001
1;40;2;0.0005036139999999999
1;40;5;0.001084766
1;40;10;0.0020703979999999998
1;40;20;0.004042302
1;40;30;0.006070974
1;40;40;0.008067214
1;40;50;0.010062782
1;50;1;0.000369566
1;50;2;0.000612446
1;50;5;0.001337422
1;50;10;0.002577294
1;50;20;0.005002046
1;50;30;0.007575246
1;50;40;0.010066909999999998
1;50;50;0.012557421999999999
2;1;1;8.974099999999995e-05
2;1;2;9.3042e-05
2;1;5;0.00013725200000000003
2;1;10;0.00013898600000000001
2;1;20;0.00016883200000000005
2;1;30;0.00020463800000000004
2;1;40;0.00026022200000000006
2;1;50;0.000319534
2;2;1;0.00011081399999999988
2;2;2;0.00013362500000000006
2;2;5;0.00014620600000000007
2;2;10;0.0001692
2;2;20;0.000269006
2;2;30;0.00038031799999999993
2;2;40;0.0004889899999999999
2;2;50;0.0005968620000000001
2;5;1;0.0001449559999999999
2;5;2;0.000150484
2;5;5;0.00019481199999999994
2;5;10;0.0003338219999999999
2;5;20;0.000607326
2;5;30;0.0008970219999999999
2;5;40;0.001167758
2;5;50;0.0014519339999999998
2;10;1;0.000157082
2;10;2;0.00019436999999999992
2;10;5;0.0003508140000000001
2;10;10;0.0006303179999999999
2;10;20;0.0011835499999999998
2;10;30;0.0017535340000000002
2;10;40;0.002304942
2;10;50;0.0028634059999999998
2;20;1;0.00023244600000000008
2;20;2;0.00033180600000000003
2;20;5;0.000655182
2;20;10;0.0012169580000000002
2;20;20;0.002361198
2;20;30;0.003460894
2;20;40;0.00459155
2;20;50;0.005719038
2;30;1;0.00034038199999999997
2;30;2;0.00047110199999999994
2;30;5;0.00096955
2;30;10;0.0018122860000000002
2;30;20;0.0035232939999999997
2;30;30;0.005227966
2;30;40;0.006867934
2;30;50;0.008588974
2;40;1;0.000442542
2;40;2;0.000619294
2;40;5;0.00127187
2;40;10;0.00239715
2;40;20;0.004586318
